"Sliced bread","Sliced bread"
"Baking powder / Soda","Baking powder / Soda"
"Bread crumbs","Bread crumbs"
"Cake / Brownie mix","Cake / Brownie mix"
"Cake icing / Decorations","Cake icing / Decorations"
"Chocolate chips / Cocoa","Chocolate chips / Cocoa"
"Flour","Flour"
"Shortening","Shortening"
"Sugar","Sugar"
"Sugar substitute","Sugar substitute"
"Yeast","Yeast"
"Candy / Gum","Candy / Gum"
"Cookies","Cookies"
"Crackers","Crackers"
"Dried fruit","Dried fruit"
"Granola bars / Mix","Granola bars / Mix"
"Nuts / Seeds","Nuts / Seeds"
"Oatmeal","Oatmeal"
"Popcorn","Popcorn"
"Potato / Corn chips","Potato / Corn chips"
"Pretzels","Pretzels"
"Baby food","Baby food"
"Diapers","Diapers"
"Formula","Formula"
"Lotion","Lotion"
"Baby wash","Baby wash"
"Wipes","Wipes"
"Cat food / Treats","Cat food / Treats"
"Cat litter","Cat litter"
"Dog food / Treats","Dog food / Treats"
"Flea treatment","Flea treatment"
"Pet shampoo","Pet shampoo"
"Antiperspirant / Deodorant","Antiperspirant / Deodorant"
"Bath soap / Hand soap","Bath soap / Hand soap"
"Condoms / Other b.c.","Condoms / Other b.c."
"Cosmetics","Cosmetics"
"Cotton swabs / Balls","Cotton swabs / Balls"
"Facial cleanser","Facial cleanser"
"Facial tissue","Facial tissue"
"Feminine products","Feminine products"
"Floss","Floss"
"Hair gel / Spray","Hair gel / Spray"
"Lip balm","Lip balm"
"Moisturizing lotion","Moisturizing lotion"
"Mouthwash","Mouthwash"
"Razors / Shaving cream","Razors / Shaving cream"
"Shampoo / Conditioner","Shampoo / Conditioner"
"Sunblock","Sunblock"
"Toilet paper","Toilet paper"
"Toothpaste","Toothpaste"
"Vitamins / Supplements","Vitamins / Supplements"
"Allergy","Allergy"
"Antibiotic","Antibiotic"
"Antidiarrheal","Antidiarrheal"
"Aspirin","Aspirin"
"Antacid","Antacid"
"Band-aids / Medical","Band-aids / Medical"
"Cold / Flu / Sinus","Cold / Flu / Sinus"
"Pain reliever","Pain reliever"
"Prescription pick-up","Prescription pick-up"
"Aluminum foil","Aluminum foil"
"Napkins","Napkins"
"Non-stick spray","Non-stick spray"
"Paper towels","Paper towels"
"Plastic wrap","Plastic wrap"
"Sandwich / Freezer bags","Sandwich / Freezer bags"
"Wax paper","Wax paper"
"Air freshener","Air freshener"
"Bathroom cleaner","Bathroom cleaner"
"Bleach / Detergent","Bleach / Detergent"
"Dish / Dishwasher soap","Dish / Dishwasher soap"
"Garbage bags","Garbage bags"
"Glass cleaner","Glass cleaner"
"Mop head / Vacuum bags","Mop head / Vacuum bags"
"Sponges / Scrubbers","Sponges / Scrubbers"
"CDRs / DVDRs","CDRs / DVDRs"
"Notepad / Envelopes","Notepad / Envelopes"
"Glue / Tape","Glue / Tape"
"Printer paper","Printer paper"
"Pens / Pencils","Pens / Pencils"
"Postage stamps","Postage stamps"
